metric,"(26, 52)_2m_temperature_5.625deg","(104, 52)_2m_temperature_5.625deg","(52, 2)_2m_temperature_5.625deg","(26, 2)_2m_temperature_5.625deg","(26, 52)_geopotential_500_5.625deg","(104, 52)_geopotential_500_5.625deg","(52, 2)_geopotential_500_5.625deg","(26, 2)_geopotential_500_5.625deg","(26, 52)_toa_incident_solar_radiation_5.625deg","(104, 52)_toa_incident_solar_radiation_5.625deg","(52, 2)_toa_incident_solar_radiation_5.625deg","(26, 2)_toa_incident_solar_radiation_5.625deg","(26, 52)_total_cloud_cover_1.40625deg","(104, 52)_total_cloud_cover_1.40625deg","(52, 2)_total_cloud_cover_1.40625deg","(26, 2)_total_cloud_cover_1.40625deg","(26, 52)_total_precipitation_1.40625deg","(104, 52)_total_precipitation_1.40625deg","(52, 2)_total_precipitation_1.40625deg","(26, 2)_total_precipitation_1.40625deg","(26, 52)_10m_u_component_of_wind_5.625deg","(104, 52)_10m_u_component_of_wind_5.625deg","(52, 2)_10m_u_component_of_wind_5.625deg","(26, 2)_10m_u_component_of_wind_5.625deg","(26, 52)_10m_v_component_of_wind_5.625deg","(104, 52)_10m_v_component_of_wind_5.625deg","(52, 2)_10m_v_component_of_wind_5.625deg","(26, 2)_10m_v_component_of_wind_5.625deg"
mae,1.382358971690874,1.3403953544593246,1.3615150320776424,1.2696487821714102,21.078855027180477,21.70275884498536,20.53069340031176,102.05109302078921,98.47522483300688,85.01937604324196,693.2509631013605,85.47690847436881,0.36552871182584096,0.3639944086303172,0.37071071179463344,0.36496884910041166,0.007220204007667157,0.007060850632833599,0.006843216596087473,0.0068388451843215394,1.6344701128016017,1.5117403319192222,1.5462124264576347,1.5411295783769468,1.6850880043081087,1.547004602757277,1.695391160059453,1.6070426120179824
mse,2.606624259360774,2.4520982127681927,2.4103011812667203,2.247796052428806,622.0883635405966,630.8357920269648,604.201678269756,11137.099165436251,22945.313405022083,16840.251111385187,1114133.349818398,16530.482784109303,0.16296670208405864,0.16194102824362952,0.16991260487282547,0.16296023994114045,8.55111711568924e-05,8.470373509109085e-05,8.682742078645711e-05,8.68458462651527e-05,3.6493208677770634,2.9668351675333966,3.093338947632321,3.060578240041243,3.583761512775996,3.115038467858271,3.669706280825396,3.320170970258855
mae_norm,0.12620448508278015,0.12237335420072301,0.12430150799925971,0.11591444086566645,0.16914880274670133,0.1741553624143012,0.1647500393918359,0.8189163945502546,0.043818340301303695,0.03783091599620183,0.30847461036302476,0.038034503360417,0.36552871182584096,0.3639944086303172,0.37071071179463344,0.36496884910041166,0.04200423952811349,0.04107718576241313,0.0398110785702411,0.039785647456579365,0.21516099818685253,0.19900489846374741,0.2035427915272333,0.2028736872877181,0.23634487853826472,0.21697775672662006,0.2377899650400683,0.2253984896458341
mse_norm,0.02172632779561425,0.020438346193460778,0.02008996650529734,0.018735478849332163,0.040058611403001744,0.040621891133631856,0.038906820324149466,0.7171597327875138,0.004543095644989437,0.003334313642425928,0.22059469287076255,0.003272980560900834,0.16296670208405864,0.16194102824362952,0.16991260487282547,0.16296023994114045,0.002894077585279184,0.002866750365042853,0.0029386253149076423,0.0029392489150072867,0.06323902772273526,0.05141224303414301,0.05360442522132808,0.053036715370164744,0.07049954579038346,0.06127885362211947,0.07219024620212741,0.06531420810991687
ssim,0.8785625191135261,0.8864625062582627,0.9202923563218885,0.8988816290270558,0.8528710631013826,0.8561778799542841,0.85825418772236,5.0181319379313326e-05,0.9952376503070802,0.9974765249018399,0.3150800835701727,0.9976773397039972,0.34669083493356484,0.36825660770794133,0.34068535470193434,0.36605781086242,0.8940925329696131,0.8858212592466822,0.8455062766228952,0.8455332155385729,0.47825865367896686,0.5152133343354711,0.5083261178385827,0.4926177655135729,0.30069138030059467,0.3259883331802656,0.3301378405863239,0.32733619295431104
psnr,28.358401753694793,28.879968048625692,29.36126058746108,29.45600321014445,23.405782636764958,23.628258110116487,23.49029827122117,2.745366712537953,37.72557477611701,43.6758102426456,8.994952378135466,43.189876799226,13.415775939760188,13.460410885732454,13.004129734400214,13.406062267962746,45.279471063821894,45.16355382992293,44.5203909497518,44.49566163096262,19.284829788943306,22.49186632014297,22.20426240262703,22.34483858476454,20.176962712029116,20.958263776403967,19.732490053183398,20.563459471654262
